date,demographic,product,sales_amount,profit_margin,comment,cluster,cluster_text_aug
2022-05-25,Middle-aged,DR Pepper Classic,4.46,0.23,Great value for money.,1,1
2020-02-06,Young adults,DR Pepper Classic,3.97,0.168,Perfect for parties.,1,1
2020-02-15,Young adults,DR Pepper Classic,3.49,0.144,Packaging was damaged.,1,1
2021-02-23,Young adults,DR Pepper Zero Sugar,3.06,0.23,Great value for money.,0,0
2024-05-26,Young adults,DR Pepper Classic,4.14,0.174,Bought for family gathering.,1,1
2024-12-21,Teens,DR Pepper Zero Sugar,3.65,0.092,Prefer sugar-free.,2,3
2022-02-04,Seniors,DR Pepper Classic,3.67,0.157,Too sweet for me.,1,1
2020-01-22,Middle-aged,Cherry DR Pepper,4.57,0.213,Packaging was damaged.,1,1
2019-06-06,Young adults,Cherry DR Pepper,3.25,0.178,Okay but not my favorite.,1,1
2022-10-14,Young adults,Cherry DR Pepper,3.69,0.176,Bought for family gathering.,1,1
2020-06-26,Young adults,Cherry DR Pepper,5.28,0.169,Okay but not my favorite.,1,1
2022-08-22,Young adults,Cherry DR Pepper,4.06,0.167,Perfect for parties.,1,1
2018-09-19,Middle-aged,Cherry DR Pepper,3.63,0.162,"Loved the taste, will buy again.",1,1
2023-11-28,Young adults,DR Pepper Classic,3.55,0.141,Not satisfied with carbonation.,1,1
2022-12-04,Young adults,DR Pepper Zero Sugar,3.09,0.191,"Loved the taste, will buy again.",0,0
2019-05-16,Young adults,DR Pepper Classic,4.33,0.217,Okay but not my favorite.,1,1
2023-08-23,Middle-aged,Cherry DR Pepper,4.1,0.192,Packaging was damaged.,1,1
2018-03-04,Middle-aged,DR Pepper Classic,3.46,0.242,Bought for family gathering.,1,1
2021-10-08,Middle-aged,Diet DR Pepper,2.36,0.233,Enjoyed with lunch.,3,1
2024-07-15,Young adults,DR Pepper Zero Sugar,2.64,0.176,Perfect for parties.,0,0
2020-11-08,Middle-aged,DR Pepper Classic,3.53,0.219,Perfect for parties.,1,1
2020-01-12,Middle-aged,DR Pepper Classic,3.44,0.215,Too sweet for me.,1,1
2023-11-06,Young adults,Cherry DR Pepper,4.25,0.165,Not satisfied with carbonation.,1,1
2019-08-04,Middle-aged,DR Pepper Classic,3.38,0.135,Packaging was damaged.,1,1
2021-03-19,Middle-aged,DR Pepper Zero Sugar,3.42,0.204,Bought for family gathering.,0,3
2023-01-26,Teens,DR Pepper Classic,2.76,0.171,Great value for money.,2,2
2022-12-19,Young adults,Cherry DR Pepper,3.44,0.163,Not satisfied with carbonation.,1,1
2023-11-10,Middle-aged,DR Pepper Classic,3.85,0.26,Bought for family gathering.,1,1
2024-01-02,Young adults,DR Pepper Classic,4.53,0.211,"Loved the taste, will buy again.",1,1
2023-03-02,Seniors,DR Pepper Zero Sugar,2.93,0.126,Too sweet for me.,0,3
2024-02-01,Teens,DR Pepper Classic,3.91,0.144,"Loved the taste, will buy again.",2,2
2024-11-12,Young adults,Diet DR Pepper,3.87,0.155,"Loved the taste, will buy again.",3,1
2023-06-05,Seniors,DR Pepper Classic,3.98,0.159,"Loved the taste, will buy again.",1,1
2019-12-04,Teens,DR Pepper Classic,3.87,0.17,Packaging was damaged.,2,2
2023-12-23,Young adults,Cherry DR Pepper,3.52,0.172,Not satisfied with carbonation.,1,1
2019-06-25,Young adults,Cherry DR Pepper,4.46,0.163,Prefer sugar-free.,1,1
2018-08-25,Middle-aged,Diet DR Pepper,2.54,0.203,Too sweet for me.,3,1
2022-10-02,Young adults,DR Pepper Classic,2.87,0.203,"Loved the taste, will buy again.",1,1
2022-07-12,Teens,DR Pepper Classic,4.43,0.172,Too sweet for me.,2,2
2022-06-04,Seniors,Diet DR Pepper,3.38,0.188,Packaging was damaged.,3,1
2022-05-30,Young adults,DR Pepper Classic,2.88,0.221,Packaging was damaged.,1,1
2022-09-19,Middle-aged,Cherry DR Pepper,2.98,0.197,Not satisfied with carbonation.,1,1
2020-11-30,Young adults,DR Pepper Classic,2.76,0.169,Bought for family gathering.,1,1
2024-04-12,Teens,DR Pepper Classic,4.52,0.145,Enjoyed with lunch.,2,2
2020-04-07,Middle-aged,Diet DR Pepper,3.16,0.176,Okay but not my favorite.,3,1
2024-11-11,Teens,DR Pepper Zero Sugar,2.74,0.125,"Loved the taste, will buy again.",2,3
2020-08-22,Young adults,DR Pepper Zero Sugar,3.81,0.202,Great value for money.,0,0
2023-07-19,Middle-aged,DR Pepper Classic,3.63,0.225,"Loved the taste, will buy again.",1,1
2019-09-16,Young adults,DR Pepper Classic,3.34,0.101,Packaging was damaged.,1,1
2024-03-01,Middle-aged,DR Pepper Classic,4.03,0.228,Prefer sugar-free.,1,1
2022-02-05,Teens,Cherry DR Pepper,4.0,0.138,Great value for money.,2,2
2023-10-07,Middle-aged,DR Pepper Zero Sugar,3.3,0.181,Too sweet for me.,0,3
2023-09-27,Teens,DR Pepper Classic,3.36,0.14,Packaging was damaged.,2,2
2021-01-18,Middle-aged,DR Pepper Classic,3.05,0.162,"Loved the taste, will buy again.",1,1
2022-03-27,Young adults,Cherry DR Pepper,3.19,0.175,Okay but not my favorite.,1,1
2022-05-11,Middle-aged,DR Pepper Classic,3.55,0.257,Okay but not my favorite.,1,1
2020-03-01,Young adults,DR Pepper Classic,3.5,0.134,Too sweet for me.,1,1
2018-06-29,Young adults,DR Pepper Zero Sugar,3.24,0.199,Too sweet for me.,0,0
2021-02-13,Middle-aged,DR Pepper Classic,3.29,0.229,Prefer sugar-free.,1,1
2018-01-28,Seniors,DR Pepper Classic,4.14,0.187,Packaging was damaged.,1,1
2021-02-12,Young adults,Diet DR Pepper,2.54,0.226,"Loved the taste, will buy again.",3,1
2018-08-08,Middle-aged,DR Pepper Zero Sugar,3.21,0.229,"Loved the taste, will buy again.",0,3
2022-11-14,Teens,Cherry DR Pepper,3.25,0.17,Bought for family gathering.,2,2
2024-09-07,Young adults,DR Pepper Zero Sugar,2.88,0.211,Great value for money.,0,0
2023-08-01,Seniors,DR Pepper Classic,3.04,0.2,Prefer sugar-free.,1,1
2022-12-06,Seniors,Cherry DR Pepper,3.52,0.16,Great value for money.,1,1
2022-12-15,Young adults,DR Pepper Classic,2.96,0.199,Prefer sugar-free.,1,1
2019-12-07,Teens,Diet DR Pepper,2.7,0.142,Okay but not my favorite.,3,2
2019-08-17,Teens,DR Pepper Classic,3.98,0.11,Bought for family gathering.,2,2
2022-08-31,Young adults,Diet DR Pepper,2.51,0.235,Packaging was damaged.,3,1
2023-10-15,Teens,Cherry DR Pepper,4.02,0.133,Okay but not my favorite.,2,2
2018-09-29,Young adults,DR Pepper Classic,3.93,0.213,"Loved the taste, will buy again.",1,1
2020-12-08,Teens,DR Pepper Classic,3.87,0.166,Too sweet for me.,2,2
2021-10-09,Young adults,DR Pepper Classic,3.49,0.153,Perfect for parties.,1,1
2023-08-04,Seniors,DR Pepper Classic,2.95,0.147,Great value for money.,1,1
2020-07-24,Young adults,DR Pepper Zero Sugar,2.23,0.192,Not satisfied with carbonation.,0,0
2024-06-17,Teens,DR Pepper Zero Sugar,2.41,0.162,"Loved the taste, will buy again.",0,3
2021-10-09,Middle-aged,DR Pepper Zero Sugar,2.41,0.189,Great value for money.,0,3
2023-05-22,Seniors,DR Pepper Classic,3.64,0.123,Enjoyed with lunch.,1,1
2020-11-26,Young adults,DR Pepper Classic,2.79,0.204,Perfect for parties.,1,1
2020-06-26,Middle-aged,DR Pepper Zero Sugar,2.9,0.112,Great value for money.,0,3
2019-12-20,Seniors,Cherry DR Pepper,3.72,0.18,Prefer sugar-free.,1,1
2022-10-25,Young adults,DR Pepper Classic,3.35,0.214,Packaging was damaged.,1,1
2024-07-29,Middle-aged,DR Pepper Classic,3.36,0.145,Great value for money.,1,1
2022-04-17,Young adults,DR Pepper Classic,4.14,0.185,Enjoyed with lunch.,1,1
2018-12-30,Seniors,DR Pepper Classic,3.75,0.158,Enjoyed with lunch.,1,1
2022-08-14,Young adults,DR Pepper Zero Sugar,3.35,0.186,Perfect for parties.,0,0
2019-08-09,Middle-aged,DR Pepper Classic,3.31,0.229,Bought for family gathering.,1,1
2021-07-24,Young adults,Cherry DR Pepper,4.09,0.14,Not satisfied with carbonation.,1,1
2018-07-22,Middle-aged,DR Pepper Classic,3.65,0.193,Not satisfied with carbonation.,1,1
2023-04-16,Young adults,DR Pepper Classic,3.61,0.175,Packaging was damaged.,1,1
2019-09-07,Seniors,DR Pepper Classic,3.3,0.112,Bought for family gathering.,1,1
2018-06-24,Middle-aged,DR Pepper Classic,3.62,0.217,Okay but not my favorite.,1,1
2021-05-19,Teens,Cherry DR Pepper,4.75,0.199,"Loved the taste, will buy again.",2,2
2021-06-30,Teens,Cherry DR Pepper,4.0,0.17,"Loved the taste, will buy again.",2,2
2021-10-09,Middle-aged,DR Pepper Classic,4.35,0.204,Enjoyed with lunch.,1,1
2023-03-05,Teens,DR Pepper Classic,2.56,0.177,Bought for family gathering.,2,2
2021-03-23,Middle-aged,Cherry DR Pepper,3.74,0.182,"Loved the taste, will buy again.",1,1
2021-08-12,Young adults,DR Pepper Classic,3.91,0.154,Not satisfied with carbonation.,1,1
2020-08-09,Young adults,Cherry DR Pepper,3.89,0.195,Too sweet for me.,1,1
2022-04-14,Teens,DR Pepper Zero Sugar,3.26,0.157,Enjoyed with lunch.,2,3
2024-08-09,Young adults,DR Pepper Classic,3.31,0.189,Perfect for parties.,1,1
2020-07-22,Young adults,DR Pepper Classic,4.11,0.154,Great value for money.,1,1
2022-08-27,Middle-aged,DR Pepper Zero Sugar,2.2,0.155,Bought for family gathering.,0,3
2018-09-23,Teens,Cherry DR Pepper,3.63,0.119,Too sweet for me.,2,2
2024-02-01,Young adults,DR Pepper Classic,3.56,0.154,Prefer sugar-free.,1,1
2019-05-23,Young adults,DR Pepper Classic,3.21,0.119,Perfect for parties.,1,1
2022-07-10,Middle-aged,Cherry DR Pepper,3.71,0.214,Great value for money.,1,1
2021-10-19,Middle-aged,DR Pepper Zero Sugar,2.02,0.161,Bought for family gathering.,0,3
2018-09-08,Young adults,Cherry DR Pepper,3.05,0.14,Packaging was damaged.,1,1
2019-05-01,Seniors,DR Pepper Classic,4.14,0.162,Enjoyed with lunch.,1,1
2018-07-16,Middle-aged,Cherry DR Pepper,3.82,0.173,"Loved the taste, will buy again.",1,1
2021-07-22,Seniors,DR Pepper Classic,3.31,0.123,Not satisfied with carbonation.,1,1
2021-10-21,Young adults,DR Pepper Classic,3.99,0.136,Perfect for parties.,1,1
2022-08-15,Teens,DR Pepper Classic,4.19,0.166,Packaging was damaged.,2,2
2024-04-21,Middle-aged,Cherry DR Pepper,4.6,0.19,Okay but not my favorite.,1,1
2021-01-14,Young adults,DR Pepper Classic,2.56,0.135,Great value for money.,1,1
2024-02-07,Young adults,Diet DR Pepper,3.89,0.224,Perfect for parties.,3,1
2024-01-06,Young adults,DR Pepper Zero Sugar,2.42,0.159,Perfect for parties.,0,0
2021-09-23,Teens,DR Pepper Zero Sugar,3.15,0.166,Great value for money.,2,3
2020-12-08,Teens,Cherry DR Pepper,4.01,0.147,"Loved the taste, will buy again.",2,2
2023-04-29,Young adults,DR Pepper Classic,4.3,0.183,Okay but not my favorite.,1,1
2020-11-28,Middle-aged,Cherry DR Pepper,3.93,0.201,Enjoyed with lunch.,1,1
2019-07-09,Teens,Diet DR Pepper,3.34,0.109,Bought for family gathering.,3,2
2021-05-14,Teens,DR Pepper Classic,3.08,0.217,Packaging was damaged.,2,2
2018-08-14,Middle-aged,Cherry DR Pepper,2.86,0.177,Bought for family gathering.,1,1
2024-10-21,Young adults,Cherry DR Pepper,3.27,0.205,Okay but not my favorite.,1,1
2023-09-11,Seniors,DR Pepper Zero Sugar,3.7,0.146,Enjoyed with lunch.,0,3
2021-12-27,Young adults,DR Pepper Classic,3.52,0.147,Too sweet for me.,1,1
2018-01-02,Middle-aged,DR Pepper Classic,4.33,0.241,Enjoyed with lunch.,1,1
2022-03-15,Young adults,DR Pepper Classic,3.14,0.227,Not satisfied with carbonation.,1,1
2018-10-30,Teens,DR Pepper Classic,3.89,0.164,Okay but not my favorite.,2,2
2019-05-02,Middle-aged,Diet DR Pepper,3.28,0.224,"Loved the taste, will buy again.",3,1
2022-04-08,Seniors,DR Pepper Classic,4.15,0.132,Not satisfied with carbonation.,1,1
2019-01-25,Middle-aged,DR Pepper Zero Sugar,2.89,0.22,Prefer sugar-free.,0,3
2021-08-13,Middle-aged,DR Pepper Classic,3.44,0.219,Prefer sugar-free.,1,1
2023-07-30,Teens,DR Pepper Classic,4.11,0.163,Packaging was damaged.,2,2
2020-09-16,Middle-aged,DR Pepper Classic,2.46,0.249,Not satisfied with carbonation.,1,1
2021-06-02,Young adults,Cherry DR Pepper,3.63,0.112,Perfect for parties.,1,1
2020-01-10,Young adults,DR Pepper Zero Sugar,2.17,0.175,Packaging was damaged.,0,0
2019-05-18,Young adults,DR Pepper Classic,3.49,0.224,Okay but not my favorite.,1,1
2022-05-05,Young adults,DR Pepper Zero Sugar,2.79,0.147,Perfect for parties.,0,0
2024-07-06,Middle-aged,Cherry DR Pepper,4.0,0.219,Not satisfied with carbonation.,1,1
2019-01-27,Young adults,DR Pepper Classic,3.73,0.165,Too sweet for me.,1,1
2022-10-02,Young adults,Diet DR Pepper,3.06,0.183,Not satisfied with carbonation.,3,1
2024-11-03,Teens,DR Pepper Classic,3.02,0.118,Bought for family gathering.,2,2
2018-10-10,Middle-aged,Cherry DR Pepper,3.74,0.268,Prefer sugar-free.,1,1
2024-08-09,Teens,Cherry DR Pepper,4.35,0.116,Too sweet for me.,2,2
2018-07-08,Teens,DR Pepper Classic,3.01,0.146,Too sweet for me.,2,2
2018-05-05,Teens,Cherry DR Pepper,2.95,0.142,Bought for family gathering.,2,2
2022-12-20,Teens,Cherry DR Pepper,2.78,0.182,Enjoyed with lunch.,2,2
2020-07-28,Young adults,DR Pepper Classic,2.73,0.182,Prefer sugar-free.,1,1
2019-05-02,Young adults,Diet DR Pepper,3.2,0.133,Perfect for parties.,3,1
2020-07-24,Young adults,DR Pepper Zero Sugar,2.3,0.161,Prefer sugar-free.,0,0
2022-12-28,Teens,DR Pepper Classic,3.31,0.085,Too sweet for me.,2,2
2023-06-03,Seniors,DR Pepper Classic,3.73,0.172,"Loved the taste, will buy again.",1,1
2019-02-12,Teens,DR Pepper Zero Sugar,1.94,0.203,Enjoyed with lunch.,0,3
2021-09-03,Middle-aged,DR Pepper Classic,3.99,0.194,Enjoyed with lunch.,1,1
2024-12-23,Young adults,DR Pepper Classic,4.21,0.19,Not satisfied with carbonation.,1,1
2020-03-18,Young adults,Diet DR Pepper,4.13,0.213,Not satisfied with carbonation.,3,1
2018-12-24,Teens,Cherry DR Pepper,4.44,0.129,Great value for money.,2,2
2018-09-30,Young adults,DR Pepper Zero Sugar,4.21,0.213,Too sweet for me.,0,0
2020-11-01,Middle-aged,DR Pepper Classic,3.62,0.257,Too sweet for me.,1,1
2021-03-12,Young adults,DR Pepper Classic,3.9,0.127,Bought for family gathering.,1,1
2021-04-05,Young adults,DR Pepper Classic,3.37,0.214,Packaging was damaged.,1,1
2018-09-26,Young adults,Cherry DR Pepper,4.03,0.136,"Loved the taste, will buy again.",1,1
2023-11-12,Young adults,DR Pepper Classic,3.57,0.157,Okay but not my favorite.,1,1
2023-11-24,Middle-aged,DR Pepper Classic,2.67,0.234,Great value for money.,1,1
2022-12-16,Middle-aged,Cherry DR Pepper,2.95,0.21,"Loved the taste, will buy again.",1,1
2022-10-03,Young adults,Cherry DR Pepper,4.6,0.166,Packaging was damaged.,1,1
2021-08-29,Middle-aged,DR Pepper Zero Sugar,3.08,0.267,Great value for money.,0,3
2022-06-16,Young adults,DR Pepper Classic,4.21,0.17,Packaging was damaged.,1,1
2018-08-24,Middle-aged,DR Pepper Classic,3.22,0.233,Okay but not my favorite.,1,1
2018-03-01,Middle-aged,DR Pepper Classic,3.05,0.191,Bought for family gathering.,1,1
2019-11-27,Young adults,Diet DR Pepper,3.16,0.194,Bought for family gathering.,3,1
2021-12-03,Middle-aged,DR Pepper Classic,3.89,0.215,Enjoyed with lunch.,1,1
2021-10-15,Middle-aged,DR Pepper Zero Sugar,3.7,0.202,Too sweet for me.,0,3
2020-08-05,Young adults,DR Pepper Classic,3.59,0.137,Too sweet for me.,1,1
2023-11-05,Middle-aged,Cherry DR Pepper,4.03,0.208,Enjoyed with lunch.,1,1
2020-01-18,Teens,DR Pepper Classic,3.43,0.133,Too sweet for me.,2,2
2022-01-17,Young adults,DR Pepper Classic,4.23,0.166,Not satisfied with carbonation.,1,1
2019-01-12,Teens,DR Pepper Classic,4.24,0.168,Great value for money.,2,2
2019-01-22,Teens,DR Pepper Classic,3.11,0.166,Perfect for parties.,2,2
2023-02-12,Young adults,DR Pepper Zero Sugar,3.19,0.157,Packaging was damaged.,0,0
2018-03-04,Young adults,DR Pepper Zero Sugar,2.5,0.187,Too sweet for me.,0,0
2018-08-18,Young adults,DR Pepper Classic,3.91,0.181,Bought for family gathering.,1,1
2024-08-19,Seniors,DR Pepper Zero Sugar,2.8,0.144,Enjoyed with lunch.,0,3
2024-04-04,Young adults,DR Pepper Classic,3.1,0.156,"Loved the taste, will buy again.",1,1
2024-04-13,Young adults,DR Pepper Classic,2.48,0.156,Packaging was damaged.,1,1
2019-01-21,Young adults,DR Pepper Classic,4.04,0.18,"Loved the taste, will buy again.",1,1
2020-11-27,Teens,Cherry DR Pepper,3.8,0.141,Great value for money.,2,2
2019-06-03,Middle-aged,DR Pepper Classic,3.63,0.206,Great value for money.,1,1
2024-08-04,Young adults,DR Pepper Classic,3.92,0.154,Enjoyed with lunch.,1,1
2021-01-05,Young adults,Diet DR Pepper,2.82,0.175,Not satisfied with carbonation.,3,1
2022-01-06,Teens,DR Pepper Classic,3.04,0.147,Enjoyed with lunch.,2,2
2022-11-28,Young adults,DR Pepper Classic,3.77,0.19,"Loved the taste, will buy again.",1,1
2018-02-06,Middle-aged,Cherry DR Pepper,4.28,0.244,Too sweet for me.,1,1
2019-02-13,Teens,DR Pepper Classic,3.77,0.182,Packaging was damaged.,2,2
2020-04-23,Young adults,DR Pepper Classic,4.3,0.178,Not satisfied with carbonation.,1,1
2022-01-26,Young adults,Cherry DR Pepper,3.98,0.132,"Loved the taste, will buy again.",1,1
2019-07-08,Middle-aged,Diet DR Pepper,3.45,0.185,Too sweet for me.,3,1
2023-09-28,Middle-aged,DR Pepper Classic,3.91,0.228,Perfect for parties.,1,1
2023-01-12,Middle-aged,DR Pepper Classic,3.38,0.198,"Loved the taste, will buy again.",1,1
2018-09-03,Seniors,DR Pepper Zero Sugar,2.38,0.132,Too sweet for me.,0,3
2018-01-02,Seniors,DR Pepper Classic,3.51,0.164,Packaging was damaged.,1,1
2020-10-11,Young adults,DR Pepper Classic,3.86,0.166,Great value for money.,1,1
2023-04-08,Young adults,DR Pepper Classic,3.07,0.218,Packaging was damaged.,1,1
2023-10-11,Middle-aged,DR Pepper Classic,2.8,0.183,Not satisfied with carbonation.,1,1
2020-05-29,Young adults,Cherry DR Pepper,3.34,0.192,Great value for money.,1,1
2023-02-15,Teens,DR Pepper Classic,4.17,0.171,Bought for family gathering.,2,2
2018-12-08,Young adults,DR Pepper Classic,3.75,0.143,Enjoyed with lunch.,1,1
2023-10-16,Middle-aged,Cherry DR Pepper,3.64,0.178,Packaging was damaged.,1,1
2021-11-02,Teens,DR Pepper Classic,3.02,0.137,"Loved the taste, will buy again.",2,2
2019-12-27,Middle-aged,Cherry DR Pepper,3.84,0.204,Bought for family gathering.,1,1
2023-05-26,Middle-aged,DR Pepper Classic,3.59,0.182,Not satisfied with carbonation.,1,1
2018-02-26,Teens,DR Pepper Zero Sugar,3.23,0.109,Perfect for parties.,2,3
2021-08-02,Teens,Cherry DR Pepper,4.95,0.12,Perfect for parties.,2,2
2022-01-19,Teens,DR Pepper Classic,3.75,0.178,Not satisfied with carbonation.,2,2
2022-10-13,Young adults,DR Pepper Classic,3.15,0.242,Perfect for parties.,1,1
2018-07-12,Young adults,Cherry DR Pepper,3.01,0.189,"Loved the taste, will buy again.",1,1
2023-04-20,Young adults,DR Pepper Classic,3.22,0.212,Enjoyed with lunch.,1,1
2021-02-19,Middle-aged,DR Pepper Classic,3.27,0.211,Great value for money.,1,1
2023-03-11,Teens,Diet DR Pepper,3.61,0.171,Bought for family gathering.,3,2
2023-11-21,Middle-aged,Cherry DR Pepper,3.39,0.222,Prefer sugar-free.,1,1
2019-10-29,Young adults,DR Pepper Classic,3.0,0.2,Prefer sugar-free.,1,1
2019-08-09,Middle-aged,DR Pepper Zero Sugar,3.27,0.211,Great value for money.,0,3
2018-12-20,Young adults,DR Pepper Classic,3.19,0.184,Not satisfied with carbonation.,1,1
2024-02-01,Young adults,DR Pepper Classic,3.79,0.168,Great value for money.,1,1
2023-08-24,Teens,DR Pepper Classic,3.08,0.166,Okay but not my favorite.,2,2
2020-06-16,Teens,DR Pepper Zero Sugar,2.76,0.159,Prefer sugar-free.,0,3
2018-02-13,Young adults,DR Pepper Classic,3.21,0.153,Not satisfied with carbonation.,1,1
2022-05-24,Young adults,Cherry DR Pepper,3.91,0.216,Not satisfied with carbonation.,1,1
2023-09-17,Teens,DR Pepper Classic,3.43,0.18,Okay but not my favorite.,2,2
2019-06-08,Middle-aged,Cherry DR Pepper,3.09,0.206,Prefer sugar-free.,1,1
2021-02-02,Seniors,Cherry DR Pepper,3.05,0.205,"Loved the taste, will buy again.",1,1
2021-10-19,Young adults,DR Pepper Zero Sugar,2.84,0.202,"Loved the taste, will buy again.",0,0
2024-12-12,Teens,DR Pepper Classic,2.79,0.137,Packaging was damaged.,2,2
2019-10-20,Middle-aged,Diet DR Pepper,2.99,0.146,Packaging was damaged.,3,1
2022-11-30,Young adults,DR Pepper Classic,3.63,0.125,Great value for money.,1,1
2024-07-14,Middle-aged,DR Pepper Zero Sugar,2.41,0.238,Okay but not my favorite.,0,3
2021-09-11,Young adults,DR Pepper Zero Sugar,3.42,0.179,Perfect for parties.,0,0
2023-07-17,Teens,DR Pepper Classic,4.19,0.139,Okay but not my favorite.,2,2
2023-02-06,Young adults,DR Pepper Classic,4.04,0.16,"Loved the taste, will buy again.",1,1
2020-02-16,Young adults,DR Pepper Classic,3.83,0.182,Packaging was damaged.,1,1
2022-09-26,Middle-aged,DR Pepper Classic,3.71,0.227,Packaging was damaged.,1,1
2022-07-22,Teens,Cherry DR Pepper,3.82,0.126,"Loved the taste, will buy again.",2,2
2020-01-26,Young adults,DR Pepper Zero Sugar,3.18,0.183,Bought for family gathering.,0,0
2019-07-13,Teens,DR Pepper Classic,3.2,0.23,Too sweet for me.,2,2
2018-11-16,Middle-aged,DR Pepper Zero Sugar,2.99,0.254,Packaging was damaged.,0,3
2018-10-30,Young adults,Cherry DR Pepper,3.77,0.113,Okay but not my favorite.,1,1
2021-01-03,Seniors,Diet DR Pepper,3.52,0.116,Okay but not my favorite.,3,1
2021-11-05,Middle-aged,DR Pepper Classic,2.7,0.254,Great value for money.,1,1
2021-08-14,Middle-aged,Cherry DR Pepper,3.81,0.227,Packaging was damaged.,1,1
2018-11-01,Teens,Diet DR Pepper,3.73,0.152,Prefer sugar-free.,3,2
2023-09-09,Young adults,DR Pepper Classic,3.2,0.196,Great value for money.,1,1
2018-01-08,Young adults,Diet DR Pepper,3.15,0.171,Not satisfied with carbonation.,3,1
2021-12-15,Teens,Diet DR Pepper,2.27,0.13,Prefer sugar-free.,3,2
2018-01-08,Middle-aged,DR Pepper Zero Sugar,3.03,0.222,Perfect for parties.,0,3
2022-11-10,Middle-aged,Cherry DR Pepper,2.96,0.197,Okay but not my favorite.,1,1
2021-04-29,Teens,DR Pepper Classic,3.22,0.176,Great value for money.,2,2
2018-09-13,Middle-aged,Diet DR Pepper,3.18,0.184,Enjoyed with lunch.,3,1
2024-03-30,Teens,DR Pepper Zero Sugar,2.7,0.171,Not satisfied with carbonation.,0,3
2024-08-21,Teens,DR Pepper Zero Sugar,2.92,0.159,Great value for money.,0,3
2019-11-29,Teens,Cherry DR Pepper,3.89,0.11,Too sweet for me.,2,2
2020-04-18,Young adults,Cherry DR Pepper,3.68,0.224,Prefer sugar-free.,1,1
2023-04-08,Middle-aged,Cherry DR Pepper,3.77,0.158,"Loved the taste, will buy again.",1,1
2022-06-25,Teens,DR Pepper Classic,2.57,0.19,Perfect for parties.,2,2
2019-03-06,Middle-aged,DR Pepper Zero Sugar,2.92,0.214,Packaging was damaged.,0,3
2020-11-11,Teens,Cherry DR Pepper,2.59,0.169,Enjoyed with lunch.,2,2
2022-10-01,Seniors,DR Pepper Zero Sugar,2.8,0.155,Prefer sugar-free.,0,3
2021-07-16,Middle-aged,Diet DR Pepper,4.12,0.189,Bought for family gathering.,3,1
2022-09-02,Middle-aged,Cherry DR Pepper,4.17,0.2,Packaging was damaged.,1,1
2023-08-23,Young adults,DR Pepper Zero Sugar,2.29,0.141,Great value for money.,0,0
2020-09-20,Young adults,DR Pepper Classic,3.23,0.197,Prefer sugar-free.,1,1
2021-05-05,Teens,DR Pepper Classic,3.41,0.139,Okay but not my favorite.,2,2
2022-06-19,Young adults,DR Pepper Zero Sugar,3.25,0.116,Prefer sugar-free.,0,0
2018-09-24,Young adults,DR Pepper Classic,3.93,0.237,"Loved the taste, will buy again.",1,1
2023-01-29,Middle-aged,DR Pepper Zero Sugar,3.81,0.208,Okay but not my favorite.,0,3
2021-04-26,Teens,Cherry DR Pepper,3.22,0.16,Enjoyed with lunch.,2,2
2018-10-30,Young adults,DR Pepper Classic,3.61,0.159,Enjoyed with lunch.,1,1
2023-08-14,Middle-aged,DR Pepper Classic,2.62,0.21,Perfect for parties.,1,1
2022-12-04,Young adults,Cherry DR Pepper,3.9,0.202,Enjoyed with lunch.,1,1
2023-09-10,Middle-aged,DR Pepper Zero Sugar,3.25,0.156,Great value for money.,0,3
2022-07-12,Young adults,DR Pepper Classic,3.51,0.198,Enjoyed with lunch.,1,1
2022-10-11,Teens,DR Pepper Zero Sugar,3.33,0.118,Bought for family gathering.,2,3
2024-02-28,Teens,DR Pepper Zero Sugar,2.57,0.111,Okay but not my favorite.,2,3
2019-06-26,Young adults,DR Pepper Classic,2.84,0.154,Great value for money.,1,1
2024-01-14,Teens,DR Pepper Zero Sugar,2.52,0.213,Too sweet for me.,0,3
2022-10-11,Young adults,DR Pepper Classic,3.69,0.204,Not satisfied with carbonation.,1,1
2020-12-02,Seniors,Cherry DR Pepper,4.36,0.169,Okay but not my favorite.,1,1
2024-09-19,Middle-aged,Diet DR Pepper,2.77,0.251,Too sweet for me.,3,1
2019-11-19,Young adults,DR Pepper Classic,3.16,0.152,Too sweet for me.,1,1
2021-10-15,Middle-aged,Diet DR Pepper,3.26,0.169,Perfect for parties.,3,1
2024-10-15,Seniors,Diet DR Pepper,4.92,0.143,Not satisfied with carbonation.,3,1
2023-03-19,Young adults,DR Pepper Classic,3.28,0.236,Prefer sugar-free.,1,1
2024-01-07,Seniors,DR Pepper Classic,3.98,0.196,Okay but not my favorite.,1,1
2018-11-15,Seniors,DR Pepper Zero Sugar,2.91,0.146,Enjoyed with lunch.,0,3
2019-05-02,Middle-aged,DR Pepper Classic,3.23,0.179,Prefer sugar-free.,1,1
2020-09-03,Young adults,DR Pepper Classic,2.84,0.188,Packaging was damaged.,1,1
2023-08-13,Middle-aged,DR Pepper Classic,3.35,0.166,Enjoyed with lunch.,1,1
2021-09-22,Young adults,DR Pepper Classic,3.92,0.175,Perfect for parties.,1,1
2020-07-24,Seniors,DR Pepper Classic,3.07,0.14,Enjoyed with lunch.,1,1
2024-07-14,Teens,Cherry DR Pepper,3.75,0.148,Bought for family gathering.,2,2
